,Artist,Song,Year
421,Billy Murray,It Looks Like a Big Night To-Night,1908
422,Albert Campbell,School Day,1908
423,Henry Burr,"I Love, & the World is Mine",1908
424,Ada Jones & Billy Murray,Make Believe,1908
425,Elise Stevenson,The Vilia Song,1908
426,Aristide Bruant,Nini Peau D'chien,1908
427,Eduardo das Neves,Bolim Bolacho,1908
428,Harry MacDonough,Sweetheart Days,1908
429,Frank Stanley & Elise Stevenson,Cavaliere,1908
430,Fisk University Jubilee Quartet,"Swing Low, Sweet Chariot",1909
431,Blanche Ring,I've Got Rings on My Fingers,1909
432,Ada Jones & Victor Light Opera Co,The Yama Yama Man,1909
433,Henry Burr,I Wonder Who's Kissing Her Now,1909
434,Ada Jones,I've Got Rings on My Fingers,1909
435,Haydn Quartet,Put on Your Old Gray Bonnet,1909
436,Harry MacDonough & Elise Stevenson,Shine on Harvest Moon,1909
437,Henry Burr,To the End of the World with You,1909
438,Arthur Collins & Byron G Harlan,"The Right Church, but the Wrong Pew",1909
439,Frank Stanley & Elise Stevenson,"Good Evening, Caroline",1909
440,Banda da Casa Edison,Choro & Poesia,1909
441,Gertie Miller,Moonstruck,1909
442,Ada Jones,Beautiful Eyes,1909
443,Henry Burr,Honey On Our Honeymoon,1909
444,Ada Jones,Pony Boy,1909
445,Frank Stanley & Henry Burr,Shine on Harvest Moon,1909
446,Billy Murray,I Wish I Had A Girl,1909
447,Arthur Collins & Byron G Harlan,Down Among the Sugar Cane,1909
448,Arthur Collins,"I Love, I Love, I Love My Wife, but Oh You Kid!",1909
449,Will Oakland,"Nobody Knows, Nobody Cares",1909
450,Ada Jones,I Remember You,1909
451,Harry Lauder,She is my Daisy,1909
452,Frank Stanley & Henry Burr,In the Garden of My Heart,1909
453,George Grossmith Jr,Yip-I-Addy-I-Ay,1909
454,Mario Pinheiro,e Loucura Meu Anjo,1909
455,Frank Stanley & Byron G Harlan,"Meet Me in Rose-Time, Rosie",1909
456,Haydn Quartet,Lonesome,1909
457,Walter Van Brunt,When I Dream in the Gloaming of You,1909
458,Peerless Quartet,Pony Boy,1909
459,Sousa's Band,Under the Double Eagle,1909
460,Harold Jarvis,Beautiful Isle of Somewhere,1909
461,Ralph Herz,That Wasn't All!,1909
462,Arthur Collins,That's a Plenty,1909
463,Billy Murray,"Dixie Land, I Love You",1909
464,Haydn Quartet,"Brown Eyes, Good-Bye",1909
465,Ada Jones & Billy Murray,I'm Awfully Glad I Met You,1909
466,Haydn Quartet,"Up, Up, Up in My Aeroplane",1909
